code,name
0373,Llenguatges de marques i sistemes de gestió d'informació
0483,Sistemes informàtics
0484,Bases de dades
0485,Programació
0487,Entorns de desenvolupament
0612,Desenvolupament web en entorn client
0613,Desenvolupament web en entorn servidor
0614,Desplegament d'aplicacions web
0615,Disseny d'interfícies web
0179,Anglès professional
1665,Digitalització aplicada als sectors productius
1708,Sostenibilitat aplicada al sistema productiu
1709,Itinerari personal per a l'ocupabilitat I
1710,Itinerari personal per a l'ocupabilitat II
0616,Projecte intermodular de desenvolupament d'aplicacions web
0486,Accés a dades
0488,Desenvolupament d'interfícies
0489,Programació multimèdia i dispositius mòbils
0490,Programació de serveis i processos
0491,Sistemes de gestió empresarial
0492,Projecte intermodular de desenvolupament d'aplicacions multiplataforma
0221,Muntatge i manteniment d'equips
0222,Sistemes operatius monolloc
0223,Aplicacions ofimàtiques
0224,Sistemes operatius en xarxa
0225,Xarxes locals
0226,Seguretat informàtica
0227,Serveis de xarxa
0228,Aplicacions web
0156,Anglès professional
1664,Digitalització aplicada als sectors productius
1713,Projecte intermodular
0369,Implantació de sistemes operatius
0370,Planificació i administració de xarxes
0371,Fonaments de maquinari
0372,Gestió de bases de dades
0374,Administració de sistemes operatius
0375,Serveis de xarxa i internet
0376,Implantació d'aplicacions web
0377,Administració de sistemes gestors de bases de dades
0378,Seguretat i alta disponibilitat
0379,Projecte intermodular d'administració de sistemes informàtics en xarxa
5048,Programació i Motors de Videojocs
5049,Disseny Gràfic 2D i 3D
5050,Programació en Xarxa i Intel·ligència Artificial
5051,Realitat Virtual i Realitat Augmentada
5052,Disseny, Gestió, Publicació i Producció
C089,Projecte de Desenvolupament de Videojocs i Realitat Virtual
0437,Comunicació empresarial i atenció al client
0438,Operacions administratives de compravenda
0439,Empresa i administració
0440,Tractament informàtic de la informació
0441,Tècnica comptable
0442,Operacions administratives de recursos humans
0443,Tractament de la documentació comptable
0446,Empresa a l'aula
0448,Operacions auxiliars de gestió de tresoreria
C056,Català / Aranès professional
0647,Gestió de la documentació jurídica i empresarial
0648,Recursos humans i responsabilitat social corporativa
0649,Ofimàtica i procés de la informació
0650,Procés integral de l'activitat comercial
0651,Comunicació i atenció al client
0652,Gestió de recursos humans
0653,Gestió financera
0654,Comptabilitat i fiscalitat
0655,Gestió logística i comercial
0656,Simulació empresarial
C076,Català / Aranès professional
0657,Projecte intermodular
0661,Protocol empresarial
0662,Organització d'esdeveniments empresarials
0663,Gestió avançada de la informació
0180,Segona llegua estrangera
0664,Projecte intermodular
3163,Ciències aplicades I
3164,Ciències aplicades II
3161,Comunicació i ciències socials I
3162,Comunicació i ciències socials II
3159,Itinerari personal per a l'ocupabilitat
3001,Tractament informàtic de dades
3002,Aplicacions bàsiques d'ofimàtica
3003,Tècniques administratives bàsiques
3004,Arxiu i comunicació
3005,Atenció al client
3006,Preparació de comandes i venda de productes
3160,Projecte intermodular d'aprenentatge col·laboratiu
E001,Ofimàtica
MP,Projecte
MPRL,Mòdul de prevenció de riscos laboral
MFG1,Estratègies i eines de comunicació
MFG2,Entorn social i territorial
MFG3,Estratègies i eines matemàtiques
MFG4,Incorporació al món professional
T1_CFGM_IC10_SMX,Tutoria 1r SMX
T2_CFGM_IC10_SMX,Tutoria 2n SMX
T1_CFGS_ICB0_DAM,Tutoria 1r DAM
T2_CFGS_ICB0_DAM,Tutoria 2n DAM
T1_CFGS_ICC0_DAW,Tutoria 1r DAW
T2_CFGS_ICC0_DAW,Tutoria 2n DAW
T1_CFGS_ICA0_ASIX,Tutoria 1r ASIX
T2_CFGS_ICA0_ASIX,Tutoria 2n ASIX
T1_EFPS_IC02_DEV,Tutoria DEV
T1_CFGM_AG10_GA,Tutoria 1r GA
T2_CFGM_AG10_GA,Tutoria 2n GA
T1_CFGS_AGB0_AIF,Tutoria 1r AIF
T2_CFGS_AGB0_AIF,Tutoria 2n AIF
T1_CFGS_AGA0_AD,Tutoria 1r AD
T2_CFGS_AGA0_AD,Tutoria 2n AD
T1_CFPB_AG10_SA,Tutoria 1r SA
T2_CFPB_AG10_SA,Tutoria 2n SA
T1_PFI_AG01_AO,Tutoria AO
OPT1,Pensament Computacional
OPT2,Introducció a la programació
OPT3,Programació FullStack
OPT4,Mòdul professional optatiu
OPT5,Mòdul professional optatiu
OPT6,Mòdul professional optatiu
